config path: configs/fastmri_modl.yaml
workspace: ./workspace/fastmri_modl,k=1,n=3
description: ""


train start: 2024-08-17 15:06:57
-----------------------
config path: configs/fastmri_modl.yaml
workspace: ./workspace/fastmri_modl,k=1,n=3
description: ""


train start: 2024-08-17 15:18:35
-----------------------
epoch 0/50 train score: 26.8819	loss: 0.0126
epoch 0/50 val score: 32.5994	loss: 0.0003
epoch 1/50 train score: 31.4663	loss: 0.0023
epoch 1/50 val score: 32.6889	loss: 0.0003
epoch 2/50 train score: 31.9668	loss: 0.0005
epoch 2/50 val score: 32.8371	loss: 0.0003
epoch 3/50 train score: 32.0825	loss: 0.0006
epoch 3/50 val score: 28.4514	loss: 0.0807
epoch 4/50 train score: 31.9949	loss: 0.0010
epoch 4/50 val score: 31.5379	loss: 0.0004
epoch 5/50 train score: 31.6957	loss: 0.0278
epoch 5/50 val score: 32.8870	loss: 0.0003
epoch 6/50 train score: 32.1378	loss: 0.0046
epoch 6/50 val score: -1.9996	loss: 700.1753
epoch 7/50 train score: 31.7358	loss: 0.0043
epoch 7/50 val score: 28.6786	loss: 0.0247
epoch 8/50 train score: 32.2694	loss: 0.0005
epoch 8/50 val score: 32.8770	loss: 0.0003
epoch 9/50 train score: 32.6615	loss: 0.0005
epoch 9/50 val score: 31.2667	loss: 0.0006
epoch 10/50 train score: 31.8858	loss: 0.0017
epoch 10/50 val score: 31.7005	loss: 0.0004
epoch 11/50 train score: 32.3395	loss: 0.0005
epoch 11/50 val score: 33.2483	loss: 0.0003
epoch 12/50 train score: 32.2503	loss: 0.0004
epoch 12/50 val score: 30.7478	loss: 0.4526
epoch 13/50 train score: 32.5118	loss: 0.0005
epoch 13/50 val score: 33.1162	loss: 0.0003
epoch 14/50 train score: 32.6737	loss: 0.0004
epoch 14/50 val score: 33.2489	loss: 0.0003
epoch 15/50 train score: 32.9504	loss: 0.0004
epoch 15/50 val score: 32.9076	loss: 0.0003
epoch 16/50 train score: 32.6959	loss: 0.0005
epoch 16/50 val score: 33.1758	loss: 0.0003
epoch 17/50 train score: 32.8361	loss: 0.0004
epoch 17/50 val score: 33.1566	loss: 0.0003
epoch 18/50 train score: 32.7779	loss: 0.0004
epoch 18/50 val score: 32.9455	loss: 0.0003
epoch 19/50 train score: 32.9421	loss: 0.0004
epoch 19/50 val score: 33.0310	loss: 0.0003
epoch 20/50 train score: 32.6648	loss: 0.0005
epoch 20/50 val score: 33.1397	loss: 0.0003
epoch 21/50 train score: 32.8902	loss: 0.0004
epoch 21/50 val score: 33.0393	loss: 0.0003
-----------------------
total train time: 217.70 min
best score: 33.2489
