config path: configs/fastmri.yaml
workspace: ./workspace/fastmri_modl,k=1,n=1
description: ""


train start: 2024-09-05 12:27:35
-----------------------
epoch 0/100 train score: 20.4292	loss: 0.0152
epoch 0/100 val score: 16.8107	loss: 0.0118
epoch 1/100 train score: 18.5134	loss: 0.0163
epoch 1/100 val score: 27.7080	loss: 0.0010
epoch 2/100 train score: 22.9708	loss: 0.0043
epoch 2/100 val score: 28.4082	loss: 375.4160
epoch 3/100 train score: 23.5159	loss: 0.0039
epoch 3/100 val score: 28.8028	loss: 0.0008
epoch 4/100 train score: 25.2362	loss: 0.0027
epoch 4/100 val score: 31.1466	loss: 0.0005
epoch 5/100 train score: 26.6574	loss: 0.0019
epoch 5/100 val score: 30.9337	loss: 0.0005
epoch 6/100 train score: 27.8641	loss: 0.0014
epoch 6/100 val score: 31.5098	loss: 0.0004
epoch 7/100 train score: 29.6101	loss: 0.0011
epoch 7/100 val score: 32.5975	loss: 0.0004
epoch 8/100 train score: 29.6011	loss: 1.7515
epoch 8/100 val score: 24.4459	loss: 0.0021
epoch 9/100 train score: 28.9784	loss: 0.0008
epoch 9/100 val score: 31.4779	loss: 0.0005
epoch 10/100 train score: 28.8781	loss: 0.0083
epoch 10/100 val score: 31.2407	loss: 0.0005
epoch 11/100 train score: 29.4116	loss: 0.0008
epoch 11/100 val score: 33.0434	loss: 0.0003
epoch 12/100 train score: 32.7795	loss: 0.0003
epoch 12/100 val score: 33.5328	loss: 0.5426
epoch 13/100 train score: 31.7377	loss: 3.2457
epoch 13/100 val score: 25.9298	loss: 0.0015
epoch 14/100 train score: 31.8838	loss: 0.0006
epoch 14/100 val score: 33.4074	loss: 0.0003
epoch 15/100 train score: 33.4390	loss: 0.0003
epoch 15/100 val score: 33.4137	loss: 0.0003
epoch 16/100 train score: 32.5999	loss: 0.0004
epoch 16/100 val score: 33.8055	loss: 0.0003
epoch 17/100 train score: 33.7184	loss: 0.0004
epoch 17/100 val score: 34.1927	loss: 0.0003
epoch 18/100 train score: 33.7986	loss: 0.0003
epoch 18/100 val score: 32.8965	loss: 0.0003
epoch 19/100 train score: 33.9038	loss: 0.0002
epoch 19/100 val score: 34.1825	loss: 0.0003
epoch 20/100 train score: 33.1963	loss: 0.0003
epoch 20/100 val score: 31.8767	loss: 0.0004
epoch 21/100 train score: 33.5036	loss: 0.0003
epoch 21/100 val score: 31.7584	loss: 0.0004
epoch 22/100 train score: 33.7462	loss: 0.0002
epoch 22/100 val score: 26.6194	loss: 0.0013
epoch 23/100 train score: 32.5578	loss: 0.0003
epoch 23/100 val score: 33.9070	loss: 0.0003
epoch 24/100 train score: 33.4409	loss: 0.0003
